Test Instrument:,Spex 1.26 Meter
Part No.:,ANDV15621
Lot No.:,63372
Serial No.:,Y250-01
A.O.I. (deg):,2.7  (RANDOM Pol.)
Temp. (C.):,30
Wavelength (nm),Tx. (%)
 689.800, 0.00000
 689.810, 0.00000
 689.820, 0.00000
 689.830, 0.00000
 689.840, 0.00000
 689.850, 0.00001
 689.860, 0.00002
 689.870, 0.00004
 689.880, 0.00005
 689.890, 0.00007
 689.900, 0.00007
 689.910, 0.00006
 689.920, 0.00002
 689.930,-0.00004
 689.940,-0.00014
 689.950,-0.00025
 689.960,-0.00038
 689.970,-0.00049
 689.980,-0.00056
 689.990,-0.00056
 690.000,-0.00044
 690.010,-0.00020
 690.020, 0.00019
 690.030, 0.00073
 690.040, 0.00138
 690.050, 0.00211
 690.060, 0.00286
 690.070, 0.00355
 690.080, 0.00413
 690.090, 0.00454
 690.100, 0.00475
 690.110, 0.00478
 690.120, 0.00467
 690.130, 0.00450
 690.140, 0.00440
 690.150, 0.00448
 690.160, 0.00489
 690.170, 0.00573
 690.180, 0.00706
 690.190, 0.00893
 690.200, 0.01127
 690.210, 0.01400
 690.220, 0.01696
 690.230, 0.01997
 690.240, 0.02282
 690.250, 0.02532
 690.260, 0.02731
 690.270, 0.02867
 690.280, 0.02935
 690.290, 0.02937
 690.300, 0.02881
 690.310, 0.02781
 690.320, 0.02654
 690.330, 0.02519
 690.340, 0.02394
 690.350, 0.02295
 690.360, 0.02233
 690.370, 0.02214
 690.380, 0.02240
 690.390, 0.02308
 690.400, 0.02413
 690.410, 0.02550
 690.420, 0.02712
 690.430, 0.02896
 690.440, 0.03104
 690.450, 0.03338
 690.460, 0.03601
 690.470, 0.03901
 690.480, 0.04240
 690.490, 0.04619
 690.500, 0.05035
 690.510, 0.05480
 690.520, 0.05942
 690.530, 0.06408
 690.540, 0.06863
 690.550, 0.07296
 690.560, 0.07703
 690.570, 0.08083
 690.580, 0.08445
 690.590, 0.08802
 690.600, 0.09174
 690.610, 0.09580
 690.620, 0.10038
 690.630, 0.10558
 690.640, 0.11148
 690.650, 0.11804
 690.660, 0.12518
 690.670, 0.13275
 690.680, 0.14060
 690.690, 0.14861
 690.700, 0.15668
 690.710, 0.16482
 690.720, 0.17307
 690.730, 0.18158
 690.740, 0.19053
 690.750, 0.20011
 690.760, 0.21051
 690.770, 0.22189
 690.780, 0.23438
 690.790, 0.24807
 690.800, 0.26304
 690.810, 0.27937
 690.820, 0.29718
 690.830, 0.31661
 690.840, 0.33787
 690.850, 0.36118
 690.860, 0.38678
 690.870, 0.41487
 690.880, 0.44556
 690.890, 0.47889
 690.900, 0.51480
 690.910, 0.55315
 690.920, 0.59378
 690.930, 0.63656
 690.940, 0.68147
 690.950, 0.72867
 690.960, 0.77853
 690.970, 0.83165
 690.980, 0.88883
 690.990, 0.95100
 691.000, 1.01912
 691.010, 1.09411
 691.020, 1.17670
 691.030, 1.26742
 691.040, 1.36652
 691.050, 1.47403
 691.060, 1.58978
 691.070, 1.71353
 691.080, 1.84507
 691.090, 1.98433
 691.100, 2.13149
 691.110, 2.28709
 691.120, 2.45203
 691.130, 2.62761
 691.140, 2.81554
 691.150, 3.01789
 691.160, 3.23703
 691.170, 3.47567
 691.180, 3.73671
 691.190, 4.02330
 691.200, 4.33874
 691.210, 4.68649
 691.220, 5.07010
 691.230, 5.49318
 691.240, 5.95943
 691.250, 6.47252
 691.260, 7.03613
 691.270, 7.65392
 691.280, 8.32941
 691.290, 9.06598
 691.300, 9.86668
 691.310,10.73411
 691.320,11.67015
 691.330,12.67567
 691.340,13.75029
 691.350,14.89206
 691.360,16.09722
 691.370,17.36007
 691.380,18.67295
 691.390,20.02641
 691.400,21.40940
 691.410,22.80980
 691.420,24.21485
 691.430,25.61177
 691.440,26.98831
 691.450,28.33323
 691.460,29.63674
 691.470,30.89072
 691.480,32.08886
 691.490,33.22663
 691.500,34.30112
 691.510,35.31075
 691.520,36.25501
 691.530,37.13408
 691.540,37.94855
 691.550,38.69919
 691.560,39.38678
 691.570,40.01211
 691.580,40.57603
 691.590,41.07963
 691.600,41.52453
 691.610,41.91307
 691.620,42.24855
 691.630,42.53537
 691.640,42.77894
 691.650,42.98550
 691.660,43.16177
 691.670,43.31447
 691.680,43.44978
 691.690,43.57294
 691.700,43.68786
 691.710,43.79706
 691.720,43.90169
 691.730,44.00191
 691.740,44.09732
 691.750,44.18744
 691.760,44.27216
 691.770,44.35203
 691.780,44.42832
 691.790,44.50281
 691.800,44.57744
 691.810,44.65379
 691.820,44.73257
 691.830,44.81325
 691.840,44.89387
 691.850,44.97116
 691.860,45.04085
 691.870,45.09831
 691.880,45.13916
 691.890,45.16000
 691.900,45.15889
 691.910,45.13569
 691.920,45.09203
 691.930,45.03102
 691.940,44.95675
 691.950,44.87358
 691.960,44.78540
 691.970,44.69504
 691.980,44.60373
 691.990,44.51092
 692.000,44.41421
 692.010,44.30967
 692.020,44.19217
 692.030,44.05590
 692.040,43.89482
 692.050,43.70313
 692.060,43.47551
 692.070,43.20731
 692.080,42.89461
 692.090,42.53410
 692.100,42.12305
 692.110,41.65915
 692.120,41.14044
 692.130,40.56531
 692.140,39.93246
 692.150,39.24100
 692.160,38.49048
 692.170,37.68093
 692.180,36.81288
 692.190,35.88739
 692.200,34.90600
 692.210,33.87078
 692.220,32.78434
 692.230,31.64993
 692.240,30.47156
 692.250,29.25417
 692.260,28.00370
 692.270,26.72724
 692.280,25.43294
 692.290,24.12985
 692.300,22.82764
 692.310,21.53619
 692.320,20.26511
 692.330,19.02324
 692.340,17.81825
 692.350,16.65631
 692.360,15.54192
 692.370,14.47793
 692.380,13.46574
 692.390,12.50548
 692.400,11.59648
 692.410,10.73753
 692.420, 9.92723
 692.430, 9.16421
 692.440, 8.44726
 692.450, 7.77537
 692.460, 7.14766
 692.470, 6.56327
 692.480, 6.02127
 692.490, 5.52052
 692.500, 5.05957
 692.510, 4.63671
 692.520, 4.24992
 692.530, 3.89695
 692.540, 3.57544
 692.550, 3.28300
 692.560, 3.01731
 692.570, 2.77617
 692.580, 2.55760
 692.590, 2.35977
 692.600, 2.18103
 692.610, 2.01987
 692.620, 1.87481
 692.630, 1.74441
 692.640, 1.62719
 692.650, 1.52160
 692.660, 1.42609
 692.670, 1.33904
 692.680, 1.25892
 692.690, 1.18427
 692.700, 1.11383
 692.710, 1.04659
 692.720, 0.98180
 692.730, 0.91904
 692.740, 0.85817
 692.750, 0.79933
 692.760, 0.74284
 692.770, 0.68913
 692.780, 0.63868
 692.790, 0.59191
 692.800, 0.54912
 692.810, 0.51044
 692.820, 0.47585
 692.830, 0.44513
 692.840, 0.41793
 692.850, 0.39380
 692.860, 0.37222
 692.870, 0.35269
 692.880, 0.33475
 692.890, 0.31799
 692.900, 0.30212
 692.910, 0.28691
 692.920, 0.27223
 692.930, 0.25803
 692.940, 0.24426
 692.950, 0.23095
 692.960, 0.21811
 692.970, 0.20576
 692.980, 0.19393
 692.990, 0.18264
 693.000, 0.17191
 693.010, 0.16178
 693.020, 0.15227
 693.030, 0.14341
 693.040, 0.13522
 693.050, 0.12770
 693.060, 0.12085
 693.070, 0.11462
 693.080, 0.10894
 693.090, 0.10371
 693.100, 0.09881
 693.110, 0.09412
 693.120, 0.08951
 693.130, 0.08488
 693.140, 0.08014
 693.150, 0.07526
 693.160, 0.07021
 693.170, 0.06502
 693.180, 0.05974
 693.190, 0.05444
 693.200, 0.04920
 693.210, 0.04411
 693.220, 0.03926
 693.230, 0.03474
 693.240, 0.03063
 693.250, 0.02699
 693.260, 0.02389
 693.270, 0.02136
 693.280, 0.01941
 693.290, 0.01803
 693.300, 0.01714
 693.310, 0.01666
 693.320, 0.01647
 693.330, 0.01640
 693.340, 0.01632
 693.350, 0.01607
 693.360, 0.01555
 693.370, 0.01467
 693.380, 0.01342
 693.390, 0.01183
 693.400, 0.00998
 693.410, 0.00797
 693.420, 0.00594
 693.430, 0.00401
 693.440, 0.00231
 693.450, 0.00091
 693.460,-0.00015
 693.470,-0.00084
 693.480,-0.00121
 693.490,-0.00131
 693.500,-0.00121
 693.510,-0.00099
 693.520,-0.00071
 693.530,-0.00044
 693.540,-0.00021
 693.550,-0.00006
 693.560, 0.00002
 693.570, 0.00003
 693.580,-0.00001
 693.590,-0.00007
 693.600,-0.00014
 693.610,-0.00017
 693.620,-0.00015
 693.630,-0.00007
 693.640, 0.00009
 693.650, 0.00032
 693.660, 0.00060
 693.670, 0.00090
 693.680, 0.00119
 693.690, 0.00144
 693.700, 0.00160
 693.710, 0.00165
 693.720, 0.00157
 693.730, 0.00139
 693.740, 0.00108
 693.750, 0.00073
 693.760, 0.00040
 693.770, 0.00000
 693.780, 0.00000
 693.790, 0.00000
 693.800, 0.00000
